0.5,79,81
0.5,81,86
0.5,86,95
0.5,95,108
0.5,108,119
0.5,119,109
0.5,109,120
0.5,120,129
0.5,79,82
0.5,82,88
0.5,88,99
0.5,99,112
0.5,112,121
0.5,121,110
0.5,110,122
0.5,122,129
1,129,139
1,139,147
1,147,65
1,65,59
1,59,53
0.5,53,47
0.5,47,42
0.5,42,39
0.5,39,38
0.5,38,40
0.5,40,44
0.5,44,51
0.5,51,57
0.5,53,58
0.5,58,55
0.5,55,62
0.5,62,68
0.5,68,61
0.5,61,54
0.5,54,60
0.5,60,57
1,57,63
1,63,70
1,70,37
1,37,36
1,36,16
0.5,16,14
0.5,14,11
0.5,11,9
0.5,9,8
0.5,8,4
0.5,4,5
0.5,5,1
0.5,1,32
0.5,16,17
0.5,17,19
0.5,19,22
0.5,22,24
0.5,24,25
0.5,25,27
0.5,27,30
0.5,30,32
1,32,34
1,34,35
1,35,222
1,222,219
1,219,214
0.5,214,209
0.5,209,204
0.5,204,208
0.5,208,203
0.5,203,197
0.5,197,192
0.5,192,189
0.5,189,188
0.5,214,210
0.5,210,205
0.5,205,211
0.5,211,206
0.5,206,199
0.5,199,193
0.5,193,190
0.5,190,188
1,188,187
1,187,186
1,186,185
1,185,182
1,182,177
0.5,177,172
0.5,172,167
0.5,167,171
0.5,171,166
0.5,166,160
0.5,160,155
0.5,155,152
0.5,152,151
0.5,177,173
0.5,173,168
0.5,168,174
0.5,174,169
0.5,169,162
0.5,162,156
0.5,156,153
0.5,153,151
1,151,150
1,150,149
1,149,148
1,148,144
1,144,134
0.5,134,124
0.5,124,114
0.5,114,123
0.5,123,113
0.5,113,100
0.5,100,89
0.5,89,83
0.5,83,80
0.5,134,125
0.5,125,115
0.5,115,126
0.5,126,117
0.5,117,104
0.5,104,91
0.5,91,84
0.5,84,80
1,80,78
1,78,76
1,76,75
1,75,77
1,77,79
