1,81,79
1,85,81
1,93,85
1,95,93
1,108,95
1,119,108
1,127,119
1,128,127
1,120,128
1,129,120
1,79,82
1,82,87
1,87,97
1,97,99
1,99,112
1,112,121
1,121,130
1,130,131
1,131,122
1,122,129
1,47,53
1,45,47
1,41,45
1,39,41
1,38,39
1,40,38
1,43,40
1,49,43
1,51,49
1,57,51
1,53,58
1,58,64
1,64,69
1,69,62
1,62,68
1,68,61
1,61,67
1,67,66
1,66,60
1,60,57
1,16,14
1,14,12
1,12,10
1,10,9
1,9,8
1,8,4
1,4,3
1,3,2
1,2,1
1,1,32
1,17,16
1,18,17
1,20,18
1,22,20
1,24,22
1,25,24
1,26,25
1,28,26
1,30,28
1,32,30
1,214,209
1,209,213
1,213,212
1,212,208
1,208,203
1,203,197
1,197,195
1,195,191
1,191,189
1,189,188
1,210,214
1,215,210
1,216,215
1,211,216
1,206,211
1,199,206
1,200,199
1,194,200
1,190,194
1,188,190
1,177,172
1,172,176
1,176,175
1,175,171
1,171,166
1,166,160
1,160,158
1,158,154
1,154,152
1,152,151
1,173,177
1,178,173
1,179,178
1,174,179
1,169,174
1,162,169
1,163,162
1,157,163
1,153,157
1,151,153
1,124,134
1,133,124
1,132,133
1,123,132
1,113,123
1,100,113
1,102,100
1,90,102
1,83,90
1,80,83
1,134,125
1,125,135
1,135,136
1,136,126
1,126,117
1,117,104
1,104,105
1,105,92
1,92,84
1,84,80
