1,81,79
0.5,85,81
0.5,93,85
0.5,95,93
0.5,86,81
0.5,95,86
1,108,95
1,119,108
0.5,127,119
0.5,128,127
0.5,120,128
0.5,109,119
0.5,120,109
1,129,120
1,79,82
0.5,82,87
0.5,87,97
0.5,97,99
0.5,82,88
0.5,88,99
1,99,112
1,112,121
0.5,121,130
0.5,130,131
0.5,131,122
0.5,121,110
0.5,110,122
1,122,129
1,47,53
0.5,45,47
0.5,41,45
0.5,39,41
0.5,42,47
0.5,39,42
1,38,39
1,40,38
0.5,43,40
0.5,49,43
0.5,51,49
0.5,44,40
0.5,51,44
1,57,51
1,53,58
0.5,58,64
0.5,64,69
0.5,69,62
0.5,58,55
0.5,55,62
1,62,68
1,68,61
0.5,61,67
0.5,67,66
0.5,66,60
0.5,61,54
0.5,54,60
1,60,57
1,16,14
0.5,14,12
0.5,12,10
0.5,10,9
0.5,14,11
0.5,11,9
1,9,8
1,8,4
0.5,4,3
0.5,3,2
0.5,2,1
0.5,4,5
0.5,5,1
1,1,32
1,17,16
0.5,18,17
0.5,20,18
0.5,22,20
0.5,19,17
0.5,22,19
1,24,22
1,25,24
0.5,26,25
0.5,28,26
0.5,30,28
0.5,27,25
0.5,30,27
1,32,30
1,214,209
0.5,209,213
0.5,213,212
0.5,212,208
0.5,209,204
0.5,204,208
1,208,203
1,203,197
0.5,197,195
0.5,195,191
0.5,191,189
0.5,197,192
0.5,192,189
1,189,188
1,210,214
0.5,215,210
0.5,216,215
0.5,211,216
0.5,205,210
0.5,211,205
1,206,211
1,199,206
0.5,200,199
0.5,194,200
0.5,190,194
0.5,193,199
0.5,190,193
1,188,190
1,177,172
0.5,172,176
0.5,176,175
0.5,175,171
0.5,172,167
0.5,167,171
1,171,166
1,166,160
0.5,160,158
0.5,158,154
0.5,154,152
0.5,160,155
0.5,155,152
1,152,151
1,173,177
0.5,178,173
0.5,179,178
0.5,174,179
0.5,168,173
0.5,174,168
1,169,174
1,162,169
0.5,163,162
0.5,157,163
0.5,153,157
0.5,156,162
0.5,153,156
1,151,153
1,124,134
0.5,133,124
0.5,132,133
0.5,123,132
0.5,114,124
0.5,123,114
1,113,123
1,100,113
0.5,102,100
0.5,90,102
0.5,83,90
0.5,89,100
0.5,83,89
1,80,83
1,134,125
0.5,125,135
0.5,135,136
0.5,136,126
0.5,125,115
0.5,115,126
1,126,117
1,117,104
0.5,104,105
0.5,105,92
0.5,92,84
0.5,104,91
0.5,91,84
1,84,80
