0.5,79,81
0.5,81,85
0.5,85,93
0.5,93,95
0.5,95,108
0.5,108,119
0.5,119,127
0.5,127,128
0.5,128,120
0.5,120,129
0.5,79,82
0.5,82,87
0.5,87,97
0.5,97,99
0.5,99,112
0.5,112,121
0.5,121,130
0.5,130,131
0.5,131,122
0.5,122,129
1,129,139
1,139,147
1,147,65
1,65,59
1,59,53
0.5,53,47
0.5,47,45
0.5,45,41
0.5,41,39
0.5,39,38
0.5,38,40
0.5,40,43
0.5,43,49
0.5,49,51
0.5,51,57
0.5,53,58
0.5,58,64
0.5,64,69
0.5,69,62
0.5,62,68
0.5,68,61
0.5,61,67
0.5,67,66
0.5,66,60
0.5,60,57
1,57,63
1,63,70
1,70,37
1,37,36
1,36,16
0.5,16,14
0.5,14,12
0.5,12,10
0.5,10,9
0.5,9,8
0.5,8,4
0.5,4,3
0.5,3,2
0.5,2,1
0.5,1,32
0.5,16,17
0.5,17,18
0.5,18,20
0.5,20,22
0.5,22,24
0.5,24,25
0.5,25,26
0.5,26,28
0.5,28,30
0.5,30,32
1,32,34
1,34,35
1,35,222
1,222,219
1,219,214
0.5,214,209
0.5,209,213
0.5,213,212
0.5,212,208
0.5,208,203
0.5,203,197
0.5,197,195
0.5,195,191
0.5,191,189
0.5,189,188
0.5,214,210
0.5,210,215
0.5,215,216
0.5,216,211
0.5,211,206
0.5,206,199
0.5,199,200
0.5,200,194
0.5,194,190
0.5,190,188
1,188,187
1,187,186
1,186,185
1,185,182
1,182,177
0.5,177,172
0.5,172,176
0.5,176,175
0.5,175,171
0.5,171,166
0.5,166,160
0.5,160,158
0.5,158,154
0.5,154,152
0.5,152,151
0.5,177,173
0.5,173,178
0.5,178,179
0.5,179,174
0.5,174,169
0.5,169,162
0.5,162,163
0.5,163,157
0.5,157,153
0.5,153,151
1,151,150
1,150,149
1,149,148
1,148,144
1,144,134
0.5,134,124
0.5,124,133
0.5,133,132
0.5,132,123
0.5,123,113
0.5,113,100
0.5,100,102
0.5,102,90
0.5,90,83
0.5,83,80
0.5,134,125
0.5,125,135
0.5,135,136
0.5,136,126
0.5,126,117
0.5,117,104
0.5,104,105
0.5,105,92
0.5,92,84
0.5,84,80
1,80,78
1,78,76
1,76,75
1,75,77
1,77,79
