1,31,32
0.5,32,33
0.5,33,35
0.5,35,37
0.5,32,146
0.5,146,37
1,37,38
1,38,1
1,1,2
1,2,4
1,4,6
1,6,7
1,7,8
1,8,10
1,10,12
1,12,13
1,13,14
0.5,14,15
0.5,15,17
0.5,17,19
0.5,14,145
0.5,145,19
1,19,20
1,20,64
0.5,64,62
0.5,62,60
0.5,60,59
0.5,64,148
0.5,148,59
1,59,58
1,58,57
1,57,55
1,55,53
1,53,52
1,52,51
1,51,49
1,49,47
1,47,46
1,46,45
1,45,44
0.5,44,42
0.5,42,40
0.5,40,39
0.5,44,147
0.5,147,39
1,39,31
